iter	Logloss
0	0.6845624699
1	0.6768406175
2	0.6697675803
3	0.6633975926
4	0.657792276
5	0.6525665073
6	0.6476918749
7	0.6433707171
8	0.6392144135
9	0.6357008431
10	0.632184713
11	0.6289593606
12	0.6259207693
13	0.6232681326
14	0.6207630667
15	0.6184437119
16	0.6163285301
17	0.6142054528
18	0.6123312119
19	0.6105578221
20	0.608876753
21	0.6073842259
22	0.6060500055
23	0.6048027826
24	0.6036442454
25	0.6024455695
26	0.601296169
27	0.6004157952
28	0.5993675107
29	0.5984623457
30	0.5976207291
31	0.5968468339
32	0.5960350534
33	0.595363368
34	0.5946415935
35	0.5938764904
36	0.593291766
37	0.5926306225
38	0.591912271
39	0.5913393786
40	0.5906453743
41	0.5900019283
42	0.589407123
43	0.5888687955
44	0.5883480818
45	0.5878236927
46	0.5873108117
47	0.5867935191
48	0.5863372557
49	0.5858865728
50	0.5854182162
51	0.58503687
52	0.5845557514
53	0.5840050608
54	0.583513811
55	0.5830824746
56	0.5826608247
57	0.582310648
58	0.5819589979
59	0.5816652686
60	0.5812644252
61	0.5809486712
62	0.580651075
63	0.5803307653
64	0.5800151253
65	0.5795928568
66	0.5793268224
67	0.5790008771
68	0.5787213768
69	0.5783992716
70	0.5781236301
71	0.5778889979
72	0.5775624133
73	0.5773339707
74	0.5771268094
75	0.5769260077
76	0.576654403
77	0.5763546009
78	0.5761185245
79	0.5757844827
80	0.5755197471
81	0.5753403068
82	0.5750900349
83	0.5747499359
84	0.574463548
85	0.5742573438
86	0.5740525338
87	0.5738731866
88	0.5736289818
89	0.5733643708
90	0.5731702946
91	0.5729817422
92	0.5727643748
93	0.572544132
94	0.5723274198
95	0.5721518937
96	0.5719641594
97	0.5717458956
98	0.5715785788
99	0.5713515012
100	0.5711845346
101	0.5710304958
102	0.5708862875
103	0.5706883923
104	0.5705047139
105	0.5703418916
106	0.5700865017
107	0.5699348306
108	0.5697568433
109	0.5695625759
110	0.5693966715
111	0.5692043879
112	0.5689134442
113	0.5686686992
114	0.5685037498
115	0.5682676839
116	0.5681176796
117	0.5679072063
118	0.5677058144
119	0.5675320864
120	0.5673440209
121	0.5672015197
122	0.5670360707
123	0.5668295227
124	0.5666952304
125	0.5664140668
126	0.5662941558
127	0.5660648213
128	0.5658696401
129	0.5656954397
130	0.565578451
131	0.5654092735
132	0.56515579
133	0.5650202771
134	0.5649072377
135	0.5647166034
136	0.5645607443
137	0.5644115261
138	0.5642600198
139	0.5640787708
140	0.5638409001
141	0.5636457835
142	0.5635245932
143	0.5633882997
144	0.5632367703
145	0.5630056088
146	0.5627488356
147	0.5626489961
148	0.5625419388
149	0.5623641001
150	0.5621431864
151	0.5619730934
152	0.561829195
153	0.561769205
154	0.5616300292
155	0.5615178695
156	0.5612921308
157	0.5610797813
158	0.5609393997
159	0.5607170319
160	0.5605184081
161	0.5603697008
162	0.5602358108
163	0.5601822808
164	0.5600499016
165	0.5599424147
166	0.5597717301
167	0.55962005
168	0.5594003429
169	0.559301965
170	0.5591188506
171	0.5590152438
172	0.5587481296
173	0.5585992921
174	0.5585168576
175	0.5583904426
176	0.5582138609
177	0.5581070313
178	0.5579923916
179	0.5577544625
180	0.5575975812
181	0.5574165623
182	0.5571999357
183	0.5570962126
184	0.5569512794
185	0.5568347011
186	0.5566677245
187	0.5564965864
188	0.5563247118
189	0.5561932089
190	0.556077619
191	0.5559865804
192	0.555857403
193	0.5557406901
194	0.5556141623
195	0.5555188044
196	0.5553201266
197	0.5551313096
198	0.555049019
199	0.554942712
200	0.5548387575
201	0.5547460794
202	0.5545328563
203	0.5543762587
204	0.5542307099
205	0.5540898216
206	0.553890994
207	0.5537710463
208	0.5536285572
209	0.5534648883
210	0.5533161029
211	0.5532195691
212	0.5531096563
213	0.552953636
214	0.5528467481
215	0.552710449
216	0.5524818988
217	0.5524101556
218	0.5522982731
219	0.5520989549
220	0.5519771758
221	0.5518574423
222	0.5516836901
223	0.5515838542
224	0.5514610617
225	0.5513190515
226	0.5512037849
227	0.5511038731
228	0.5509625364
229	0.550860803
230	0.5507458926
231	0.5506316528
232	0.5504715236
233	0.5503203811
234	0.5501961653
235	0.5500910208
236	0.5499072546
237	0.5497176616
238	0.5495672778
239	0.5493992853
240	0.5492718418
241	0.5491102127
242	0.5489642146
243	0.5488684938
244	0.548762634
245	0.5487092434
246	0.548597951
247	0.5484536892
248	0.5483326897
249	0.5482510607
250	0.5480525736
251	0.5479246914
252	0.5478167747
253	0.5476044385
254	0.5475047054
255	0.5474149878
256	0.5472700747
257	0.5471132456
258	0.5470103898
259	0.5468765412
260	0.5466764942
261	0.5465099001
262	0.5464313423
263	0.5463354855
264	0.5461442985
265	0.5459893209
266	0.5457945413
267	0.5456207927
268	0.5455007114
269	0.5453833862
270	0.5451904854
271	0.5450780092
272	0.5449146536
273	0.5447414056
274	0.5446046483
275	0.5444736201
276	0.544327096
277	0.5441603323
278	0.5440471327
279	0.5438621943
280	0.5437374225
281	0.5435508274
282	0.5433647591
283	0.5432563194
284	0.5431107523
285	0.5430215846
286	0.5428598182
287	0.5427560552
288	0.5426348096
289	0.5424261575
290	0.5423316545
291	0.5421452325
292	0.5420324419
293	0.5419030923
294	0.5417235899
295	0.5415945597
296	0.5414273167
297	0.5413037823
298	0.5411332306
299	0.540967571
300	0.5408395929
301	0.5407352326
302	0.5405994415
303	0.5404893752
304	0.5403560256
305	0.5401539352
306	0.5400452741
307	0.5399210295
308	0.5398050226
309	0.5396795458
310	0.5395622176
311	0.5394415376
312	0.5392225136
313	0.5391381955
314	0.5389750969
315	0.5388153706
316	0.5386245894
317	0.5384972375
318	0.5383378422
319	0.5381877381
320	0.5380408787
321	0.5379174697
322	0.5378045257
323	0.5376978558
324	0.5375879124
325	0.5374662369
326	0.5373618865
327	0.537172961
328	0.537069679
329	0.5369584099
330	0.5368026079
331	0.5366363193
332	0.5365166083
333	0.536268181
334	0.5361459996
335	0.536029958
336	0.5358499037
337	0.535672434
338	0.5355870127
339	0.5354329537
340	0.5353335948
341	0.5352295914
342	0.5351112858
343	0.535010855
344	0.534900142
345	0.5347496695
346	0.5346143275
347	0.5345056237
348	0.5343557476
349	0.5342215744
350	0.5340910594
351	0.5340063297
352	0.5339040231
353	0.5338402813
354	0.5337272147
355	0.5336128566
356	0.5335117369
357	0.533337619
358	0.5332201842
359	0.5331028333
360	0.5330159031
361	0.5328661628
362	0.5327151999
363	0.532582336
364	0.5325095573
365	0.53239622
366	0.5322531945
367	0.5321681849
368	0.532002257
369	0.5319029261
370	0.5317273582
371	0.5316315064
372	0.5314178647
373	0.5312946475
374	0.5311998892
375	0.5310723401
376	0.5309696199
377	0.5308448541
378	0.530709496
379	0.5306401693
380	0.5305422305
381	0.5303814692
382	0.5302219264
383	0.5301553569
384	0.5300461709
385	0.5299325066
386	0.5298059516
387	0.5297104773
388	0.529542424
389	0.5294399626
390	0.5292578687
391	0.5291473524
392	0.5290255559
393	0.5288284908
394	0.5287358612
395	0.5285113992
396	0.5283555532
397	0.5282024898
398	0.5281167545
399	0.5280127205
