iter	Passed	Remaining
0	9	3696
1	17	3481
2	26	3446
3	33	3314
4	41	3248
5	48	3165
6	55	3143
7	63	3097
8	70	3061
9	78	3053
10	86	3044
11	93	3026
12	101	3016
13	108	3003
14	116	2993
15	124	2981
16	131	2965
17	139	2952
18	146	2941
19	153	2917
20	160	2903
21	168	2886
22	175	2878
23	182	2861
24	190	2855
25	197	2846
26	205	2844
27	213	2835
28	221	2836
29	229	2830
30	237	2822
31	244	2813
32	252	2803
33	259	2791
34	266	2778
35	273	2769
36	281	2757
37	288	2744
38	295	2738
39	302	2726
40	310	2718
41	317	2707
42	325	2699
43	332	2686
44	339	2677
45	346	2666
46	353	2656
47	360	2643
48	367	2629
49	374	2621
50	381	2612
51	389	2603
52	396	2596
53	404	2589
54	411	2579
55	418	2573
56	426	2565
57	433	2555
58	440	2547
59	447	2535
60	455	2530
61	462	2518
62	469	2509
63	475	2498
64	482	2487
65	490	2481
66	497	2471
67	504	2462
68	511	2454
69	519	2446
70	526	2438
71	532	2428
72	540	2422
73	547	2413
74	554	2404
75	561	2393
76	568	2385
77	576	2378
78	583	2370
79	590	2363
80	598	2355
81	605	2348
82	612	2338
83	620	2333
84	627	2327
85	635	2320
86	642	2311
87	649	2302
88	656	2295
89	664	2288
90	671	2280
91	679	2273
92	687	2270
93	695	2262
94	702	2254
95	708	2244
96	716	2236
97	722	2227
98	729	2219
99	737	2211
100	744	2203
101	751	2194
102	757	2185
103	765	2178
104	773	2172
105	780	2164
106	787	2156
107	794	2147
108	801	2140
109	808	2132
110	819	2133
111	826	2126
112	834	2119
113	841	2110
114	849	2104
115	856	2097
116	864	2090
117	870	2081
118	877	2072
119	884	2064
120	891	2056
121	898	2048
122	905	2039
123	913	2033
124	920	2024
125	927	2015
126	934	2008
127	941	2000
128	949	1994
129	956	1986
130	964	1980
131	971	1972
132	978	1964
133	985	1956
134	992	1947
135	999	1940
136	1007	1933
137	1014	1926
138	1022	1919
139	1029	1911
140	1037	1904
141	1044	1898
142	1052	1890
143	1058	1882
144	1066	1875
145	1073	1868
146	1082	1863
147	1089	1855
148	1097	1849
149	1104	1841
150	1112	1834
151	1119	1827
152	1127	1819
153	1134	1811
154	1141	1804
155	1148	1796
156	1156	1789
157	1164	1783
158	1171	1775
159	1179	1769
160	1188	1763
161	1195	1756
162	1203	1749
163	1210	1741
164	1217	1733
165	1225	1726
166	1232	1719
167	1240	1712
168	1248	1706
169	1255	1698
