trial_number,state,stopped_epoch,target_metric,best_val_loss,best_macro_auroc,pretrain_lr,weight_decay,scheduler_patience,scheduler_factor,tabular_hidden_dim,tabular_fusion_dim,tabular_dropout,hidden_dim,num_layers,rnn_dropout,head_dropout
0,COMPLETE,23,0.4760025240279533,0.4760025240279533,0.0,0.00030676871678125074,3.7348973478010356e-05,4,0.4,256,128,0.2,128,1,0.2,0.30000000000000004
1,PRUNED,5,0.4831399329610773,0.4831399329610773,0.0,0.00013413936485049096,2.2433834533274747e-05,6,0.4,128,256,0.2,256,2,0.1,0.2
2,PRUNED,5,0.4966951197869069,0.4966951197869069,0.0,0.00020005994614183604,9.713375886246646e-05,5,0.30000000000000004,256,256,0.2,256,1,0.2,0.4
3,COMPLETE,18,0.4811748314548183,0.4811748314548183,0.0,0.00023073023906711572,0.00016818569396284946,3,0.5,64,512,0.4,256,2,0.30000000000000004,0.30000000000000004
4,PRUNED,15,0.479822622763144,0.479822622763144,0.0,0.00038794673153747476,1.466864427197727e-05,7,0.2,128,128,0.1,128,1,0.1,0.30000000000000004
5,COMPLETE,20,0.4789590779188517,0.47942176219579336,0.0,0.00016703526500493488,0.0002420697886821871,6,0.30000000000000004,64,512,0.30000000000000004,128,2,0.30000000000000004,0.30000000000000004
6,PRUNED,5,0.5009105890183836,0.501788009662886,0.0,0.00012753622442798816,6.277006602306237e-05,4,0.30000000000000004,128,512,0.4,256,1,0.2,0.2
7,PRUNED,5,0.49798181733569585,0.49846127145999186,0.0,0.0001316985722862474,0.0004552241241526251,5,0.4,64,128,0.2,256,2,0.2,0.30000000000000004
8,COMPLETE,17,0.47893557355210586,0.47893557355210586,0.0,0.00036647715275722433,6.148088464414319e-05,7,0.2,256,256,0.2,128,1,0.4,0.30000000000000004
9,COMPLETE,13,0.4811217221053871,0.4816201127864219,0.0,0.00020879364013161214,0.00032140452112743224,7,0.2,128,128,0.30000000000000004,256,2,0.30000000000000004,0.2
