trial_number,state,stopped_epoch,target_metric,best_val_loss,best_macro_auroc,pretrain_lr,weight_decay,scheduler_patience,scheduler_factor,tabular_hidden_dim,tabular_fusion_dim,tabular_dropout,hidden_dim,num_layers,rnn_dropout,head_dropout,cnn_channels,cnn_kernels,cnn_dropout
0,COMPLETE,34,0.47466182950380686,0.47466182950380686,0.0,0.00030676871678125074,3.7348973478010356e-05,4,0.4,256,128,0.2,128,1,0.2,0.30000000000000004,32_64,15_7,0.3
1,COMPLETE,24,0.4751593921635602,0.4751593921635602,0.0,0.0003209020870016775,0.00016674277362987863,7,0.30000000000000004,64,128,0.2,128,1,0.2,0.4,32_64,7_5,0.1
2,COMPLETE,15,0.48477747069822774,0.48477747069822774,0.0,0.0004032033352105217,3.168916025578695e-05,5,0.5,128,128,0.2,256,2,0.4,0.30000000000000004,32_64,15_7,0.0
3,COMPLETE,12,0.47870244126062134,0.4790535875268885,0.0,0.0003418152218553688,3.0713743220840105e-05,4,0.4,128,128,0.30000000000000004,128,2,0.2,0.30000000000000004,32_64,7_5,0.0
4,COMPLETE,14,0.47631420074282466,0.47631420074282466,0.0,0.00016331412244500389,6.257075045905657e-05,7,0.5,128,128,0.1,256,2,0.1,0.1,64_128,15_7,0.1
5,PRUNED,5,0.48067113837680303,0.48067113837680303,0.0,0.00016650421723037382,5.111276217134528e-05,4,0.5,256,512,0.4,256,2,0.4,0.4,64_128,7_5,0.0
6,PRUNED,15,0.47465553799191035,0.47465553799191035,0.0,0.0002629482474359349,0.0005391739690665336,8,0.2,256,128,0.4,128,2,0.30000000000000004,0.1,64_128,11_7,0.1
7,COMPLETE,13,0.4830357980083775,0.4839508839555689,0.0,0.0002917412297874208,1.670261010018418e-05,6,0.5,64,128,0.30000000000000004,128,2,0.4,0.30000000000000004,32_64,15_7,0.0
8,PRUNED,15,0.47675128563030345,0.47675128563030345,0.0,0.00011406747492874399,1.891608015223026e-05,5,0.30000000000000004,64,128,0.1,256,2,0.1,0.30000000000000004,64_128,11_7,0.2
9,COMPLETE,14,0.47290451703844844,0.47290451703844844,0.0,0.00021406812405598766,1.7518975728827413e-05,6,0.2,128,512,0.30000000000000004,256,2,0.2,0.4,64_128,15_7,0.0
10,PRUNED,5,0.48155125170140656,0.48155125170140656,0.0,0.00020813135433947537,2.316056183046539e-05,4,0.30000000000000004,128,512,0.4,256,2,0.1,0.30000000000000004,64_128,15_7,0.1
11,PRUNED,15,0.4767650712180782,0.4767650712180782,0.0,0.00040884886421847035,2.164577773838771e-05,4,0.4,256,128,0.2,128,1,0.30000000000000004,0.30000000000000004,32_64,7_5,0.3
12,PRUNED,5,0.49190450520128814,0.49190450520128814,0.0,0.00031206020829660334,0.00010389573165575396,5,0.4,256,128,0.2,256,1,0.1,0.4,32_64,15_7,0.3
13,PRUNED,5,0.4920012234030543,0.4920012234030543,0.0,0.00036195303830920995,1.6719170507587e-05,5,0.5,256,128,0.30000000000000004,128,2,0.1,0.2,32_64,15_7,0.3
14,COMPLETE,13,0.47594832326914815,0.47594832326914815,0.0,0.0003950998423453261,1.4105981342977428e-05,7,0.2,128,128,0.2,256,2,0.2,0.4,64_128,15_7,0.0
15,COMPLETE,33,0.4703637514565442,0.4703637514565442,0.0,0.00020435100667710686,4.428692885807858e-05,3,0.4,256,128,0.1,128,1,0.2,0.2,64_128,15_7,0.3
16,PRUNED,15,0.47404581066724416,0.4748893766789823,0.0,0.0002011989114397852,2.7788943834385897e-05,4,0.4,256,128,0.1,128,1,0.1,0.1,64_128,15_7,0.2
17,PRUNED,5,0.49114879724141713,0.49114879724141713,0.0,0.00021159121131415347,0.00014423990742318753,4,0.5,256,128,0.1,256,1,0.30000000000000004,0.2,64_128,7_5,0.3
18,COMPLETE,14,0.4787331014066129,0.4787331014066129,0.0,0.00010893715927315451,5.075834013664917e-05,6,0.2,128,512,0.30000000000000004,256,2,0.30000000000000004,0.4,64_128,15_7,0.0
19,PRUNED,5,0.48432682333765803,0.48432682333765803,0.0,0.00022461875453831645,0.0005179583319116129,3,0.4,64,512,0.2,128,1,0.2,0.2,64_128,15_7,0.3
20,PRUNED,5,0.4798301079788724,0.4798301079788724,0.0,0.0003500891699543191,1.3070111553990453e-05,5,0.2,256,512,0.2,256,2,0.30000000000000004,0.4,64_128,7_5,0.0
21,PRUNED,5,0.49779223751377416,0.49779223751377416,0.0,0.00015193193419115968,1.1045649638070496e-05,3,0.5,256,128,0.1,128,1,0.2,0.30000000000000004,32_64,15_7,0.3
22,PRUNED,15,0.4789458883775247,0.4789458883775247,0.0,0.00020221134068577882,2.2557510752021515e-05,6,0.2,128,512,0.2,256,2,0.1,0.4,32_64,15_7,0.0
23,COMPLETE,28,0.4720259647111635,0.4720259647111635,0.0,0.00021941312151454447,5.1919854986312375e-05,5,0.4,256,256,0.1,128,1,0.2,0.30000000000000004,64_128,15_7,0.3
24,COMPLETE,30,0.47059155477059855,0.47100589162594564,0.0,0.00014843216716535723,5.0178285843329414e-05,7,0.5,256,256,0.1,128,1,0.2,0.4,64_128,15_7,0.3
25,PRUNED,5,0.4910571792641202,0.4910571792641202,0.0,0.00012748593051156802,9.764523776350258e-05,6,0.5,256,256,0.1,128,1,0.2,0.4,64_128,11_7,0.3
26,COMPLETE,31,0.4712698379078427,0.47137725192147334,0.0,0.00019016120551010256,3.847356300650596e-05,8,0.5,256,512,0.2,128,1,0.30000000000000004,0.4,64_128,15_7,0.3
27,COMPLETE,22,0.4705590203001693,0.4705590203001693,0.0,0.00020918062399282635,1.2246727491150568e-05,8,0.5,64,512,0.30000000000000004,128,1,0.30000000000000004,0.4,64_128,15_7,0.3
28,PRUNED,15,0.4760427265553861,0.4760427265553861,0.0,0.0002564762671687425,2.1206670850053388e-05,7,0.5,64,256,0.4,128,1,0.2,0.4,32_64,15_7,0.3
29,PRUNED,5,0.49047355716292923,0.49047355716292923,0.0,0.00023270320800599235,1.100735417840393e-05,7,0.5,64,512,0.30000000000000004,128,1,0.2,0.4,64_128,11_7,0.3
30,PRUNED,5,0.4840973365951229,0.4840973365951229,0.0,0.0001407504350305876,1.2948098345089678e-05,6,0.5,64,512,0.30000000000000004,128,1,0.4,0.30000000000000004,64_128,15_7,0.3
31,PRUNED,15,0.47226592817822016,0.47226592817822016,0.0,0.0002584623305594796,3.2665912097875194e-05,8,0.5,256,128,0.2,128,1,0.30000000000000004,0.4,64_128,15_7,0.3
32,PRUNED,15,0.47152052779455444,0.47152052779455444,0.0,0.00024588222941622696,3.094229370394458e-05,8,0.4,128,512,0.4,128,1,0.4,0.4,64_128,15_7,0.2
33,PRUNED,5,0.483326443143793,0.483326443143793,0.0,0.0001491390579556085,5.371082525397835e-05,8,0.5,128,512,0.1,256,1,0.30000000000000004,0.4,64_128,15_7,0.3
34,PRUNED,5,0.49184903502464294,0.49184903502464294,0.0,0.0001381548469179536,6.091873089975061e-05,8,0.5,256,512,0.2,128,1,0.4,0.4,32_64,15_7,0.3
35,PRUNED,15,0.474864908972302,0.4756883793586009,0.0,0.000260414692185802,1.0559528823165865e-05,7,0.5,64,128,0.30000000000000004,128,1,0.30000000000000004,0.4,64_128,15_7,0.3
